SETTLEMENTDATE,TOTALDEMAND
12/03/2019 18:00,10780.2
12/03/2019 18:30,10443.38
12/03/2019 19:00,10360.78
12/03/2019 19:30,10124.06
12/03/2019 20:00,9891.18
12/03/2019 20:30,9483.66
12/03/2019 21:00,9034.47
12/03/2019 21:30,8733.93
12/03/2019 22:00,8377.5
12/03/2019 22:30,8215.9
12/03/2019 23:00,7958.68
12/03/2019 23:30,7792.35
13/03/2019 0:00,7538.78
13/03/2019 0:30,7381.29
13/03/2019 1:00,7170.1
13/03/2019 1:30,6909.23
13/03/2019 2:00,6587.8
13/03/2019 2:30,6459.71
13/03/2019 3:00,6374.03
13/03/2019 3:30,6414.74
13/03/2019 4:00,6507.14
13/03/2019 4:30,6786.66
13/03/2019 5:00,7030.66
13/03/2019 5:30,7566.02
13/03/2019 6:00,8042.01
13/03/2019 6:30,8408.88
13/03/2019 7:00,8628.43
13/03/2019 7:30,8701.02
13/03/2019 8:00,8660.4
13/03/2019 8:30,8711.26
13/03/2019 9:00,8708.13
13/03/2019 9:30,8692.91
13/03/2019 10:00,8669.99
13/03/2019 10:30,8636.72
13/03/2019 11:00,8585.46
13/03/2019 11:30,8597.29
13/03/2019 12:00,8593.62
13/03/2019 12:30,8569.76
13/03/2019 13:00,8573.59
13/03/2019 13:30,8555.76
13/03/2019 14:00,8529.52
13/03/2019 14:30,8552.71
13/03/2019 15:00,8617.13
13/03/2019 15:30,8674.83
13/03/2019 16:00,8749.36
13/03/2019 16:30,8742.91
13/03/2019 17:00,8818.23
13/03/2019 17:30,8701.99
13/03/2019 18:00,8776.38
13/03/2019 18:30,8784.07
13/03/2019 19:00,8797.06
13/03/2019 19:30,8627.57
13/03/2019 20:00,8425.41
13/03/2019 20:30,8260.47
13/03/2019 21:00,8029.12
13/03/2019 21:30,7955.44
13/03/2019 22:00,7783.83
13/03/2019 22:30,7764.92
13/03/2019 23:00,7633.38
13/03/2019 23:30,7470.53
14/03/2019 0:00,7381.99
14/03/2019 0:30,7214.21
14/03/2019 1:00,7024.9
14/03/2019 1:30,6734.79
14/03/2019 2:00,6553.15
14/03/2019 2:30,6447.67
14/03/2019 3:00,6413.27
14/03/2019 3:30,6403.47
14/03/2019 4:00,6465.94
14/03/2019 4:30,6699.33
14/03/2019 5:00,6951.91
14/03/2019 5:30,7482
14/03/2019 6:00,7989.14
14/03/2019 6:30,8366.95
14/03/2019 7:00,8668.44
14/03/2019 7:30,8813.34
14/03/2019 8:00,8771.11
14/03/2019 8:30,8870.21
14/03/2019 9:00,8920.2
14/03/2019 9:30,8995.14
14/03/2019 10:00,8995.4
14/03/2019 10:30,8886.64
14/03/2019 11:00,8894.23
14/03/2019 11:30,8962.35
14/03/2019 12:00,8940.99
14/03/2019 12:30,8850.85
14/03/2019 13:00,8851.45
14/03/2019 13:30,8940.7
14/03/2019 14:00,9063.23
14/03/2019 14:30,9117.34
14/03/2019 15:00,9287.7
14/03/2019 15:30,9362.84
14/03/2019 16:00,9446.4
14/03/2019 16:30,9389.47
14/03/2019 17:00,9513.76
14/03/2019 17:30,9352.28
14/03/2019 18:00,9362.14
14/03/2019 18:30,9271.26
14/03/2019 19:00,9174.15
14/03/2019 19:30,8951.92
14/03/2019 20:00,8754.9
14/03/2019 20:30,8450.57
14/03/2019 21:00,8134.28
14/03/2019 21:30,8014.11
14/03/2019 22:00,7818.81
14/03/2019 22:30,7778.01
14/03/2019 23:00,7621.82
14/03/2019 23:30,7450.78
15/03/2019 0:00,7326.17
15/03/2019 0:30,7155.14
15/03/2019 1:00,6964.56
15/03/2019 1:30,6697.57
15/03/2019 2:00,6490.88
15/03/2019 2:30,6382.4
15/03/2019 3:00,6325.86
15/03/2019 3:30,6296.02
15/03/2019 4:00,6355.41
15/03/2019 4:30,6559.13
15/03/2019 5:00,6809
